0.000000	520
0.025000	520
0.050000	517
0.075000	514
0.100000	514
0.125000	514
0.150000	511
0.175000	508
0.200000	508
0.225000	508
0.250000	508
0.275000	508
0.300000	505
0.325000	505
0.350000	499
0.375000	499
0.400000	499
0.425000	493
0.450000	493
0.475000	493
0.500000	493
0.525000	484
0.550000	484
0.575000	484
0.600000	484
0.625000	481
0.650000	481
0.675000	478
0.700000	472
0.725000	469
0.750000	460
0.775000	457
0.800000	457
0.825000	454
0.850000	451
0.875000	448
0.900000	448
0.925000	448
0.950000	448
0.975000	448
1.000000	448
